Month,Day,Title,Time,Category,Details,ICS Link
JUL,3,Independence Day,All Day,Holiday,,
JUL,9,204 Start Date,All Day,Teachers and Staff Calendars,,
JUL,20,Teachers Access Fall Classes,By End of Day,CVA Term Date,,
JUL,27,183 Start Date,All Day,Teachers and Staff Calendars,,
JUL,28,Staff Day,All Day,CCSD Teacher Workday,,
JUL,29,Staff Day,All Day,CCSD Teacher Workday,,
JUL,30,Staff Day,All Day,CCSD Teacher Workday,,
JUL,31,Staff Day,All Day,CCSD Teacher Workday,,
AUG,3,CCSD First Day,All Day,Teachers and Staff Calendars,,
AUG,3,Classes Open,All Day,CVA Term Date,,
AUG,3,Fall Term Kickoff Begins,All Day,CVA Teacher Task,Department meeting; teachers must attend one session.,
AUG,3,Welcome Calls Begin,All Day,CVA Teacher Task,Begin making welcome calls and record details in gradebook feedback.,
AUG,10,Fall Term Kickoff Ends,All Day,CVA Teacher Task,Department meeting; teachers must attend one session.,
AUG,10,Welcome Call Follow-Up,All Day,CVA Teacher Task,Continue welcome-call efforts; mark incomplete calls as missing and record failed attempts in gradebook feedback.,
AUG,17,Begin Synergy Grade Sync,All Day,CVA Teacher Task,Begin syncing CTLS assignments with Synergy.,
AUG,17,Digital Learning Day,All Day,CCSD Digital Learning Day,,
AUG,17,Nonstarters: Parent Contact Begins,All Day,CVA Teacher Task,Begin two-way communication with parents of non-starters and document outreach and responses in Views and Tools.,
AUG,17,Welcome Call Follow-Up,All Day,CVA Teacher Task,Continue efforts; mark incomplete welcome calls as 0 and record failed attempts in gradebook feedback.,
AUG,21,Fall Registration Closes,Noon,CVA Registration,,
AUG,21,Nonstarter Support List Due,All Day,CVA Teacher Task,Email CVA Teacher Support a list of non-starter students for whom a two-way conversation with the parent or guardian could not be established.,
AUG,24,Failing Students: Parent Contact,All Day,CVA Teacher Task,Parent-contact window runs August 24–30. Have a two-way conversation with parents of failing students and record communication in Views & Tools.,
AUG,27,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
SEP,3,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
SEP,7,Labor Day,All Day,Holiday,,
SEP,9,Failing Students: Parent Contact,All Day,CVA Teacher Task,Parent-contact window runs September 8–13. Have a two-way conversation with parents of failing students and record communication in Views & Tools.,
SEP,10,Parent Contact Documentation,All Day,CVA Teacher Task,"Enter details of communication efforts with parents of failing students in Views and Tools, including parent responses when available.",
SEP,14,Missing Assignments Outreach,All Day,CVA Teacher Task,Encourage students with missing assignments to complete them by the October 2 mid-term cutoff.,
SEP,21,Fall Break,All Day,Holiday,,
SEP,22,Fall Break,All Day,Holiday,,
SEP,23,Fall Break,All Day,Holiday,,
SEP,24,Fall Break,All Day,Holiday,,
SEP,25,Fall Break,All Day,Holiday,,
SEP,28,Open Spring Registration,All Day,CVA Registration,,
OCT,1,Gradebook Catch-Up,All Day,CVA Teacher Task,Finish grading all work submitted over Fall Break.,
OCT,1,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
OCT,2,First Cut Off Date,All Day,CVA Term Date,,
OCT,5,Student Connections,All Day,CVA Teacher Task,Continue connecting with students and building relationships.,
